GMRT-TAU_J042843.31+175614.7	04:28:43.309	+17:56:14.72	5.95	0.60	9.32	0.91	295	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042843.75+182722.6	04:28:43.748	+18:27:22.58	18.92	1.00	23.06	1.27	285	S	-	-	-	-	-	-	-	-	L	-0.99	0.17	N 
GMRT-TAU_J042844.96+185107.7	04:28:44.961	+18:51:07.74	15.29	1.01	158.10	7.97	686	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042846.22+184536.9	04:28:46.221	+18:45:36.90	5.05	0.59	9.23	0.90	141	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042846.67+181955.4	04:28:46.674	+18:19:55.37	1.90	0.36	1.97	0.61	16	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042851.20+184511.9	04:28:51.199	+18:45:11.91	23.35	1.27	33.60	1.86	762	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042852.05+183628.0	04:28:52.047	+18:36:28.05	5.85	0.44	10.36	0.71	194	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042852.10+171757.5	04:28:52.099	+17:17:57.47	29.23	1.75	67.77	3.92	349	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042853.70+171754.0	04:28:53.703	+17:17:54.03	26.96	1.69	52.14	2.99	349	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042853.72+175432.3	04:28:53.723	+17:54:32.28	8.95	0.61	13.12	0.91	190	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042855.33+182144.2	04:28:55.332	+18:21:44.24	5.19	0.42	5.76	0.63	48	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042858.37+185536.4	04:28:58.373	+18:55:36.40	5.32	0.76	10.22	1.14	107	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042859.24+181907.9	04:28:59.240	+18:19:07.88	8.76	0.56	9.85	0.75	93	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042859.74+185304.1	04:28:59.745	+18:53:04.06	26.97	1.53	277.45	13.99	1234	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042900.50+181047.4	04:29:00.498	+18:10:47.42	2.02	0.34	3.28	0.51	76	S	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042902.52+185541.5	04:29:02.524	+18:55:41.47	24.83	1.39	36.13	2.06	368	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042903.50+175847.3	04:29:03.501	+17:58:47.29	5.65	0.45	7.60	0.68	75	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042905.37+183504.1	04:29:05.372	+18:35:04.08	10.15	0.60	14.01	0.86	253	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042907.16+184952.3	04:29:07.164	+18:49:52.29	4.35	0.51	7.87	0.79	81	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042909.96+182702.3	04:29:09.956	+18:27:02.34	2.06	0.31	1.92	0.53	24	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042912.92+174003.5	04:29:12.924	+17:40:03.53	4.71	0.42	6.45	0.63	55	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042913.10+184005.1	04:29:13.098	+18:40:05.07	2.09	0.37	2.92	0.58	57	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042913.53+183150.9	04:29:13.528	+18:31:50.91	18.49	0.97	20.89	1.16	212	S	-	-	-	-	-	-	-	-	L	-0.97	0.16	N 
GMRT-TAU_J042913.77+183949.1	04:29:13.772	+18:39:49.08	5.59	0.44	6.18	0.66	57	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042914.18+175610.2	04:29:14.185	+17:56:10.15	6.33	0.45	28.55	1.63	120	M	-	-	-	-	-	-	-	-	-	-	-	-
