,Cat_ID,DC_Maj,DC_Maj_img_plane,DC_Min,DC_Min_img_plane,DC_PA,DC_PA_img_plane,DEC,DEC_max,E_DC_Maj,E_DC_Maj_img_plane,E_DC_Min,E_DC_Min_img_plane,E_DC_PA,E_DC_PA_img_plane,E_DEC,E_DEC_max,E_Isl_Total_flux,E_Maj,E_Maj_img_plane,E_Min,E_Min_img_plane,E_PA,E_PA_img_plane,E_Peak_flux,E_RA,E_RA_max,E_SI,E_Total_flux,Freq,GBS,GBS_Flux,GBS_Name,Isl_Total_flux,Isl_id,Isl_mean,Isl_rms,Maj,Maj_img_plane,Match,Min,Min_img_plane,NVSS,NVSS_DEC,NVSS_DEC_offset,NVSS_E_SI,NVSS_E_flux,NVSS_RA,NVSS_RA_offset,NVSS_SI,NVSS_SI_FP,NVSS_flux,PA,PA_img_plane,Peak_flux,RA,RA_max,Resid_Isl_mean,Resid_Isl_rms,Resolved,SI,S_Code,Total_flux,nearest_df2_index,S_Ra_Dec,Name,GBS_C,GBS_C_Other,GBS_C_Type,GBS_C_Name,XMM,2MASS,SPITZER,MLC
254,185,42003.35999999999,0.0,23302.08,0.0,0.0,0.0,18.058282000000002,18.058282000000002,7128.000000000001,0.00055,1982.8800000000003,0.000153,9.909889999999999,9.909889999999999,8.499999999999999e-05,8.499999999999999e-05,5.1e-05,1.9800000000000002,0.00055,0.5508000000000001,0.000153,9.909889999999999,9.909889999999999,0.051923405127167845,0.000227,0.000227,1.5877893265532443,0.10292929612117241,607664000.0,False,0.0,,0.000231,154,-5e-06,5.6999999999999996e-05,11.667599999999998,0.0032409999999999995,True,6.4728,0.0017980000000000001,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,75.910184,75.956666,0.39599999999999996,67.74216700000001,67.74216700000001,-5e-06,1.1e-05,True,-2.2517628466089548,S,0.27599999999999997,,04:30:58.120	+18:03:29.82,J043058.12+180329.8,False,,,,False,True,False,0
255,185,41031.36,0.0,31868.64,0.0,0.0,0.0,18.058029,18.058029,5365.44,0.000414,3214.08,0.000248,20.532503,20.532503,0.000105,0.000105,0.00015,1.4904,0.000414,0.8928,0.000248,20.532503,20.532503,0.1538686452790171,0.000176,0.000176,1.5877893265532443,0.26040499227165365,322666000.0,False,0.0,,0.000978,295,-1.1e-05,0.000146,11.3976,0.003166,True,8.8524,0.002459,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,87.764938,87.81140500000001,1.232,67.742211,67.742211,-1.1e-05,1.6e-05,True,-2.2517628466089548,S,1.1480000000000001,155.0,04:30:58.131	+18:03:28.90,J043058.13+180328.9,False,,,,False,True,False,0
256,186,90784.8,0.006261999999999999,57503.520000000004,0.003542,76.93428399999999,76.982677,18.882162,18.882162,14722.56,0.0011359999999999999,7659.360000000001,0.000591,17.973214000000002,17.973214000000002,0.000264,0.000264,0.0005099999999999999,4.0896,0.0011359999999999999,2.1276,0.000591,17.973214000000002,17.973214000000002,0.3263364866207884,0.000475,0.000475,-999.0,0.5475309032374337,322666000.0,False,0.0,,0.0063219999999999995,293,4.2e-05,0.000309,25.218,0.007005,False,15.9732,0.004436,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,78.384496,78.432889,2.0989999999999998,67.742591,67.742591,1e-05,0.00016299999999999998,True,-999.0,S,7.806,146.0,04:30:58.222	+18:52:55.78,J043058.22+185255.8,False,,,,False,False,False,0
257,539,196875.36,0.014887000000000001,80300.16,0.005526,124.131588,124.17799,18.105059,18.105059,14450.400000000001,0.001115,5015.5199999999995,0.00038700000000000003,6.0244919999999995,6.0244919999999995,0.000297,0.000297,0.000259,4.014,0.001115,1.3932,0.00038700000000000003,6.0244919999999995,6.0244919999999995,0.06074380626862298,0.000404,0.000404,-999.0,0.40765995633616026,607664000.0,False,0.0,,0.009285,152,7.000000000000001e-06,6.9e-05,54.687599999999996,0.015191,False,22.305600000000002,0.006196,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,123.716838,123.76323899999998,0.718,67.742798,67.742798,3.7e-05,8e-05,True,-999.0,C,8.084000000000001,,04:30:58.272	+18:06:18.21,J043058.27+180618.2,False,,,,False,False,False,0
258,187,63309.600000000006,0.004102000000000001,46228.32,0.001662,174.117653,174.16565400000002,18.888417999999998,18.888417999999998,11962.08,0.000923,7115.04,0.000549,26.695688,26.695688,0.00039,0.00039,0.000368,3.3228,0.000923,1.9764,0.000549,26.695688,26.695688,0.34288855332308776,0.00023700000000000001,0.00023700000000000001,-999.0,0.5058240405516526,322666000.0,False,0.0,,0.003274,294,6.3e-05,0.000308,17.586000000000002,0.004884,False,12.8412,0.0035670000000000003,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,172.11889,172.166891,1.9320000000000002,67.743849,67.743849,9e-06,8.6e-05,True,-999.0,S,4.0280000000000005,146.0,04:30:58.524	+18:53:18.30,J043058.52+185318.3,False,,,,False,False,False,0
259,188,43493.76,0.001468,37026.72000000001,0.000525,144.89699199999998,144.941851,17.856579,17.856579,5365.44,0.000414,3926.88,0.000303,31.246289,31.246289,0.000135,0.000135,8.499999999999999e-05,1.4904,0.000414,1.0908,0.000303,31.246289,31.246289,0.08837772626629405,0.000171,0.000171,0.9953201765111868,0.14000108035297443,607664000.0,False,0.0,,0.000674,153,-1e-05,7.900000000000001e-05,12.0816,0.003356,True,10.285200000000001,0.002857,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,109.22904299999999,109.273902,0.7070000000000001,67.745822,67.745822,-1.1e-05,3.1e-05,True,-0.7023006025373195,S,0.8109999999999999,,04:30:58.997	+17:51:23.68,J043059.00+175123.7,False,,,,False,True,False,0
260,188,37778.4,0.0,31777.92,0.0,0.0,0.0,17.856879,17.856879,3991.68,0.000308,2786.4,0.000215,24.189776000000002,24.189776000000002,9.499999999999999e-05,9.499999999999999e-05,0.000151,1.1088,0.000308,0.774,0.000215,24.189776000000002,24.189776000000002,0.16010185039530303,0.000128,0.000128,0.9953201765111868,0.2685545801136149,322666000.0,False,0.0,,0.001082,292,1.4000000000000001e-05,0.000149,10.494,0.002915,True,8.8272,0.0024519999999999998,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,74.494454,74.539266,1.4789999999999999,67.745979,67.745979,1.1e-05,1.4000000000000001e-05,True,-0.7023006025373195,S,1.2650000000000001,154.0,04:30:59.035	+17:51:24.76,J043059.03+175124.8,False,,,,False,True,False,0
261,540,52824.95999999999,0.002719,46824.48000000001,0.002299,138.952721,138.997387,18.110444,18.110444,7050.24,0.000544,5715.360000000001,0.00044100000000000004,46.132458,46.132458,0.000193,0.000193,0.000259,1.9584,0.000544,1.5876000000000001,0.00044100000000000004,46.132458,46.132458,0.07951609899888197,0.000226,0.000226,-999.0,0.12048992696487124,607664000.0,False,0.0,,0.009285,152,7.000000000000001e-06,6.9e-05,14.673599999999999,0.004076,False,13.006800000000002,0.0036130000000000003,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,109.471202,109.515868,0.5820000000000001,67.748424,67.748424,3.7e-05,8e-05,True,-999.0,C,1.027,,04:30:59.622	+18:06:37.60,J043059.62+180637.6,False,,,,False,False,False,0
262,189,79107.84,0.0054659999999999995,66368.15999999999,0.004075,162.340977,162.383809,17.388779,17.387665,311.04,2.4e-05,246.24,1.9e-05,1.011659,1.011659,8e-06,8e-06,0.004789,0.0864,2.4e-05,0.0684,1.9e-05,1.011659,1.011659,19.93227147141038,1e-05,1e-05,-999.0,54.291474560929,322666000.0,False,0.0,,1.049967,285,5.7999999999999994e-05,0.00122,21.9744,0.006103,False,18.435599999999997,0.005121,True,17.38813888888889,0.0006401111111102864,0.09157165141180997,9.7,67.74891666666666,-0.00011166666665474168,-0.8212150067239263,L,324.5,157.38896100000002,157.431793,397.898,67.748805,67.749853,5.1e-05,0.0013,True,-999.0,M,1083.02,137.0,04:30:59.713	+17:23:19.60,J043059.71+172319.6,False,,,,False,True,False,0
263,190,92573.28000000001,0.006486,36650.880000000005,0.0,128.78211000000002,128.82531799999998,17.66814,17.666610000000002,2060.64,0.00015900000000000002,466.56,3.6e-05,1.2207540000000001,1.2207540000000001,5.5e-05,5.5e-05,0.0007509999999999999,0.5724,0.00015900000000000002,0.1296,3.6e-05,1.2207540000000001,1.2207540000000001,1.172066789905763,4.2e-05,4.2e-05,0.2641134332345093,2.7998660508138604,607664000.0,False,0.0,,0.052423000000000004,146,-2.9999999999999997e-05,0.00024300000000000002,25.714800000000004,0.007143000000000001,True,10.180800000000001,0.0028280000000000002,True,17.668222222222223,-8.22222222218727e-05,0.17392131123166568,1.5,67.75004166666666,-0.0002856666666559704,-0.6988575611577542,B,37.3,126.812925,126.856132,22.932000000000002,67.749756,67.751657,-2.7000000000000002e-05,0.000196,True,-1.1020471068351652,M,54.219,,04:30:59.941	+17:40:05.30,J043059.94+174005.3,False,,,,False,False,False,0
264,190,92378.87999999999,0.00648,39216.96,0.000991,131.45247,131.495666,17.668429,17.666805,1749.6,0.000135,453.6,3.5e-05,1.1413520000000001,1.1413520000000001,4.5e-05,4.5e-05,0.0013570000000000001,0.486,0.000135,0.126,3.5e-05,1.1413520000000001,1.1413520000000001,2.1123907048649877,3.8e-05,3.8e-05,0.2641134332345093,5.559468878409161,322666000.0,False,0.0,,0.11452000000000001,286,-1.1e-05,0.000392,25.6608,0.007128,True,10.8936,0.003026,True,17.668222222222223,0.00020677777777677875,0.17392131123166568,1.5,67.75004166666666,-0.00024766666666664605,-0.6988575611577542,B,37.3,129.375426,129.418622,41.513999999999996,67.749794,67.751761,0.00035,0.000503,True,-1.1020471068351652,M,108.92200000000001,145.0,04:30:59.951	+17:40:06.34,J043059.95+174006.3,False,,,,False,False,False,0
265,191,41342.399999999994,0.000859,34810.560000000005,0.0,38.576799,38.620093,17.711839,17.711839,1270.08,9.8e-05,894.2399999999999,6.9e-05,7.159217999999999,7.159217999999999,2.9999999999999997e-05,2.9999999999999997e-05,0.00021099999999999998,0.3528,9.8e-05,0.24839999999999998,6.9e-05,7.159217999999999,7.159217999999999,0.3409930937717068,4.1e-05,4.1e-05,0.3322265440108829,0.4200649027233769,607664000.0,False,0.0,,0.005895,151,-1.3000000000000001e-05,0.000167,11.483999999999998,0.0031899999999999997,True,9.6696,0.002686,True,17.711305555555555,0.0005334444444464737,0.04403979405239713,0.4,67.75083333333333,-0.0010223333333385654,-1.0324476050405045,B,2.4,81.229668,81.27296199999999,5.946,67.749811,67.749811,-1.1e-05,9.8e-05,True,-0.9919671857763461,S,6.097,,04:30:59.955	+17:42:42.62,J043059.95+174242.6,False,,,,False,False,False,0
266,191,41549.76,0.0,37972.8,0.0,0.0,0.0,17.711915,17.711915,971.9999999999999,7.5e-05,816.48,6.3e-05,10.461537,10.461537,2.8000000000000003e-05,2.8000000000000003e-05,0.000312,0.26999999999999996,7.5e-05,0.2268,6.3e-05,10.461537,10.461537,0.5566390774101294,3.1e-05,3.1e-05,0.3322265440108829,0.6849477644317119,322666000.0,False,0.0,,0.011234000000000001,291,5.6999999999999996e-05,0.000221,11.5416,0.003206,True,10.548,0.00293,True,17.711305555555555,0.0006094444444464386,0.04403979405239713,0.4,67.75083333333333,-0.0009073333333304845,-1.0324476050405045,B,2.4,62.140576,62.183834999999995,10.165000000000001,67.749926,67.749926,5.9999999999999995e-05,0.00015,True,-0.9919671857763461,S,11.424,150.0,04:30:59.982	+17:42:42.89,J043059.98+174242.9,False,,,,False,False,False,0
267,192,43467.84,0.001674,35704.8,0.0,33.432802,33.475699,17.742978,17.742978,2760.48,0.000213,1879.2,0.000145,13.076794999999999,13.076794999999999,7.099999999999999e-05,7.099999999999999e-05,0.00023199999999999997,0.7668,0.000213,0.522,0.000145,13.076794999999999,13.076794999999999,0.25879914992132413,8.3e-05,8.3e-05,0.6553543473754649,0.37920210969877266,322666000.0,False,0.0,,0.003483,290,1.2e-05,0.000192,12.074399999999999,0.0033539999999999998,True,9.918000000000001,0.002755,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,57.814917,57.857814000000005,3.38,67.751355,67.751355,1.4000000000000001e-05,4.9e-05,True,-1.1747973896400554,S,3.7359999999999998,149.0,04:31:00.325	+17:44:34.72,J043100.33+174434.7,False,,,,False,False,False,0
268,192,46150.56,0.0016870000000000001,35873.28,0.0007099999999999999,69.33201600000001,69.374868,17.742986,17.742986,5184.000000000001,0.0004,3201.1200000000003,0.00024700000000000004,18.206831,18.206831,0.000106,0.000106,0.000165,1.4400000000000002,0.0004,0.8892000000000001,0.00024700000000000004,18.206831,18.206831,0.16871147708439996,0.000169,0.000169,0.6553543473754649,0.2643604357690462,607664000.0,False,0.0,,0.0015970000000000001,150,4e-06,0.000147,12.8196,0.003561,True,9.9648,0.002768,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,81.9454,81.988251,1.5050000000000001,67.751504,67.751504,7.000000000000001e-06,5.6999999999999996e-05,True,-1.1747973896400554,S,1.7760000000000002,,04:31:00.361	+17:44:34.75,J043100.36+174434.7,False,,,,False,False,False,0
269,193,48690.72,0.0020440000000000002,36961.92,0.001039,77.606311,77.649233,17.858751,17.858751,8631.36,0.000666,5145.12,0.000397,26.545827000000003,26.545827000000003,0.00016999999999999999,0.00016999999999999999,0.000164,2.3976,0.000666,1.4292,0.000397,26.545827000000003,26.545827000000003,0.1636801835898286,0.00028199999999999997,0.00028199999999999997,0.8734519023986014,0.2589200697126432,322666000.0,False,0.0,,0.001035,287,1.1e-05,0.00015,13.5252,0.003757,True,10.267199999999999,0.002852,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,84.491632,84.534554,0.9909999999999999,67.752155,67.752155,1.2e-05,2.8000000000000003e-05,True,-0.28529366070908385,S,1.271,147.0,04:31:00.517	+17:51:31.50,J043100.52+175131.5,False,,,,False,False,False,0
270,194,40163.04,0.0,38335.68,0.0,0.0,0.0,18.453723,18.453723,7983.36,0.000616,7296.4800000000005,0.000563,173.633245,173.633245,0.000248,0.000248,0.00015,2.2176,0.000616,2.0268,0.000563,173.633245,173.633245,0.1693673227042336,0.00025299999999999997,0.00025299999999999997,1.6865734709385978,0.27987311410708954,322666000.0,False,0.0,,0.00066,289,-2.3e-05,0.000161,11.1564,0.0030989999999999998,True,10.6488,0.0029579999999999997,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,50.440996000000005,50.485223,0.8460000000000001,67.75239499999999,67.75239499999999,-2.3e-05,8e-06,True,-1.3573715573471876,S,0.9279999999999999,148.0,04:31:00.575	+18:27:13.40,J043100.57+182713.4,False,,,,False,False,False,0
271,195,47096.64000000001,0.0018100000000000002,34577.28,0.000241,105.451292,105.49592,18.632842,18.632842,6428.16,0.000496,3551.0400000000004,0.00027400000000000005,17.964691000000002,17.964691000000002,0.00011899999999999999,0.00011899999999999999,0.000181,1.7856,0.000496,0.9864000000000002,0.00027400000000000005,17.964691000000002,17.964691000000002,0.18998316372773666,0.00020899999999999998,0.00020899999999999998,0.6961307226948376,0.30530417619154837,607664000.0,False,0.0,,0.0012619999999999999,147,-7.000000000000001e-06,0.000172,13.082400000000002,0.0036340000000000005,True,9.6048,0.002667,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,98.626673,98.6713,1.4789999999999999,67.752441,67.752441,-7.000000000000001e-06,7.099999999999999e-05,True,-1.9976404930617238,S,1.716,,04:31:00.586	+18:37:58.23,J043100.59+183758.2,False,,,,False,False,False,0
