GMRT-TAU_J042332.19+263713.5	04:23:32.190	+26:37:13.53	4.71	0.37	6.90	0.56	130	S	-	-	-	-	-	-	-	-	-	-	-	G S
GMRT-TAU_J042334.16+260203.5	04:23:34.162	+26:02:03.45	8.20	0.49	11.02	0.69	221	S	-	-	-	-	-	-	-	-	L	-1.01	0.33	N 
GMRT-TAU_J042335.30+252254.6	04:23:35.303	+25:22:54.62	25.94	1.39	25.94	1.55	1070	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042336.51+255739.3	04:23:36.513	+25:57:39.26	1.48	0.25	3.37	0.37	109	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042336.91+252617.7	04:23:36.911	+25:26:17.73	50.24	2.58	122.51	6.23	784	M	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042338.38+260141.1	04:23:38.380	+26:01:41.14	2.02	0.27	2.60	0.43	41	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042340.15+261413.8	04:23:40.146	+26:14:13.78	2.95	0.28	4.32	0.42	58	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042340.54+260958.0	04:23:40.541	+26:09:58.02	0.63	0.21	0.69	0.35	10	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042341.44+260956.2	04:23:41.445	+26:09:56.21	1.07	0.22	1.28	0.36	10	C	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042341.97+260111.2	04:23:41.966	+26:01:11.24	1.68	0.23	1.82	0.38	17	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042344.82+261407.7	04:23:44.820	+26:14:07.70	1.39	0.26	3.28	0.38	90	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042345.16+262505.5	04:23:45.157	+26:25:05.50	3.30	0.28	5.04	0.42	139	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042347.24+252051.4	04:23:47.242	+25:20:51.40	5.74	0.57	10.12	0.89	543	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042350.42+263229.1	04:23:50.417	+26:32:29.12	3.38	0.32	6.11	0.49	171	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042351.54+253333.4	04:23:51.542	+25:33:33.35	1.25	0.29	3.51	0.41	119	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042351.73+264104.7	04:23:51.726	+26:41:04.73	1.83	0.34	3.67	0.50	90	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042353.92+260922.7	04:23:53.922	+26:09:22.67	14.53	0.76	18.23	1.03	124	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042354.34+253846.0	04:23:54.341	+25:38:45.98	1.46	0.28	5.18	0.42	73	S	-	-	-	-	-	-	-	-	-	-	-	2M
